iter	RMSE
0	14.42089072
1	14.14304998
2	13.86211126
3	13.62241377
4	13.36021585
5	13.12381235
6	12.8934824
7	12.66385287
8	12.42562409
9	12.18481421
10	11.98508226
11	11.77085986
12	11.56918334
13	11.38116336
14	11.19039392
15	11.01563004
16	10.82575459
17	10.64289311
18	10.4857145
19	10.31459932
20	10.16455072
21	9.999415233
22	9.870928286
23	9.721807723
24	9.572901396
25	9.446570182
26	9.326245057
27	9.204530917
28	9.087705634
29	8.983477821
30	8.868622034
31	8.756924928
32	8.65181299
33	8.556950054
34	8.461051125
35	8.379898721
36	8.304476121
37	8.212149113
38	8.14155754
39	8.055945143
40	7.9749809
41	7.91416542
42	7.836474892
43	7.761487213
44	7.693528261
45	7.630897385
46	7.568847448
47	7.520761958
48	7.457328156
49	7.397826415
50	7.343681178
51	7.290253502
52	7.24761258
53	7.200037278
54	7.152037878
55	7.103992228
56	7.060444954
57	7.013582176
58	6.983933405
59	6.943743761
60	6.886742456
61	6.853867528
62	6.817253944
63	6.784288968
64	6.749583873
65	6.710761862
66	6.675864326
67	6.651021897
68	6.626897172
69	6.605450471
70	6.579134113
71	6.549326055
72	6.519461693
73	6.500870999
74	6.469683677
75	6.443692296
76	6.422816241
77	6.400165601
78	6.365164441
79	6.342754602
80	6.308837718
81	6.289175503
82	6.27354226
83	6.256546053
84	6.239688276
85	6.222736797
86	6.205045175
87	6.185015897
88	6.164899095
89	6.152269701
90	6.136738788
91	6.127998121
92	6.109371055
93	6.097713694
94	6.086672345
95	6.072927265
96	6.061075496
97	6.044701438
98	6.03054185
99	6.016212988
100	5.998519594
101	5.981035675
102	5.959712031
103	5.943020837
104	5.924536288
105	5.91279471
106	5.901313745
107	5.890875488
108	5.871070742
109	5.861296089
110	5.848352622
111	5.839828176
112	5.826773037
113	5.805753159
114	5.796131393
115	5.785120848
116	5.767760256
117	5.761996207
118	5.753704337
119	5.739998538
120	5.731649191
121	5.722269435
122	5.713876743
123	5.700299751
124	5.684854806
125	5.671552657
126	5.658387869
127	5.650708783
128	5.64249204
129	5.631003392
130	5.62376188
131	5.617019743
132	5.609965353
133	5.603121937
134	5.596382203
135	5.585279275
136	5.577808195
137	5.572318949
138	5.561849097
139	5.555196946
140	5.546783523
141	5.534267515
142	5.523922159
143	5.515808601
144	5.505119218
145	5.498039408
146	5.487022176
147	5.477671746
148	5.46396944
149	5.457081269
150	5.446622207
151	5.440878388
152	5.435918016
153	5.429616618
154	5.42489699
155	5.419738807
156	5.411744585
157	5.398822021
158	5.390107798
159	5.381609218
160	5.375393957
161	5.371362264
162	5.367996171
163	5.362262551
164	5.356441506
165	5.348274306
166	5.336120625
167	5.329976235
168	5.324950211
169	5.317339338
170	5.305384475
171	5.297706228
172	5.286493855
173	5.281443586
174	5.277207056
175	5.272426713
176	5.265606415
177	5.259221124
178	5.251663387
179	5.244159569
180	5.236925142
181	5.232440302
182	5.22555465
183	5.221475435
184	5.216255883
185	5.2123561
186	5.207892577
187	5.203261432
188	5.199069909
189	5.197789376
190	5.191938833
191	5.188000022
192	5.183855829
193	5.177633609
194	5.171824382
195	5.16541991
196	5.162375399
197	5.15884711
198	5.155715806
199	5.150328809
200	5.143407043
201	5.139329387
202	5.133675386
203	5.128250526
204	5.123961021
205	5.121209005
206	5.11749707
207	5.112969864
208	5.108819599
209	5.10266463
210	5.099359074
211	5.095555485
212	5.088374444
213	5.085961697
214	5.079161477
215	5.074075134
216	5.069745262
217	5.064904415
218	5.059817937
219	5.050146277
220	5.046315185
221	5.040902654
222	5.035090344
223	5.032831075
224	5.029724841
225	5.022549079
226	5.01792308
227	5.014735444
228	5.011510857
229	5.005257652
230	5.000704419
231	4.992818358
232	4.985156941
233	4.978482881
234	4.973102427
235	4.966213975
236	4.962581227
237	4.958766848
238	4.956212677
239	4.953078065
240	4.950592011
241	4.946909419
242	4.943297504
243	4.93832742
244	4.935756722
245	4.928642266
246	4.921376813
247	4.912556452
248	4.90812556
249	4.90008328
250	4.894411357
251	4.890478909
252	4.883066711
253	4.87415136
254	4.870118982
255	4.863787424
