iter	Passed	Remaining
0	1	834
1	1	462
2	1	337
3	1	279
4	1	240
5	1	215
6	1	197
7	1	190
8	2	181
9	2	172
10	2	164
11	2	160
12	2	154
13	2	149
14	2	147
15	2	142
16	3	139
17	3	136
18	3	135
19	3	132
20	3	129
21	3	128
22	3	125
23	3	123
24	3	121
25	4	120
26	4	119
27	4	118
28	4	118
29	4	117
30	4	117
31	4	116
32	4	114
33	5	113
34	5	113
35	5	112
36	5	111
37	5	114
38	5	114
39	6	114
40	6	114
41	6	113
42	6	112
43	6	111
44	6	111
45	6	110
46	6	110
47	7	109
48	7	109
49	7	108
50	7	107
51	7	106
52	7	106
53	7	105
54	7	105
55	7	105
56	8	104
57	8	104
58	8	103
59	8	102
60	8	102
61	8	101
62	8	101
63	8	102
64	8	101
65	9	101
66	9	100
67	9	100
68	9	100
69	9	100
70	9	100
71	9	100
72	10	100
73	10	99
74	10	99
75	10	98
76	10	98
77	10	98
78	10	97
79	10	97
80	10	97
81	11	96
82	11	96
83	11	96
84	11	95
85	11	95
86	11	95
87	11	95
88	11	95
89	12	94
90	12	95
91	12	94
92	12	94
93	12	94
94	12	94
95	12	93
96	12	93
97	13	93
98	13	93
99	13	92
100	13	92
101	13	92
102	13	92
103	13	92
104	13	91
105	13	91
106	14	91
107	14	91
108	14	90
109	14	90
110	14	90
111	14	91
112	15	93
113	15	93
114	15	93
115	15	92
116	15	92
117	15	92
118	16	92
119	16	92
120	16	91
121	16	91
122	16	91
123	16	91
124	16	91
125	16	90
126	17	90
127	17	90
128	17	90
129	17	90
130	17	90
131	17	89
132	17	89
133	17	89
134	18	89
135	18	88
136	18	89
137	18	88
138	18	88
139	18	88
140	18	88
141	18	88
142	19	87
143	19	87
144	19	87
145	19	87
146	19	86
147	19	86
148	19	86
149	19	86
150	20	86
151	20	85
152	20	85
153	20	85
154	20	85
155	20	84
156	20	84
157	20	84
158	20	84
159	21	84
160	21	83
161	21	83
162	21	83
163	21	83
164	21	83
165	21	83
166	21	82
167	22	82
168	22	82
169	22	82
170	22	82
171	22	81
172	22	81
173	22	81
174	22	81
175	22	81
176	22	80
177	23	80
178	23	80
179	23	80
180	23	80
181	23	80
182	23	80
183	23	79
184	23	79
185	24	79
186	24	79
187	24	79
188	24	78
189	24	78
190	24	78
191	24	78
192	24	78
193	24	78
194	25	77
195	25	77
196	25	77
197	25	77
198	25	77
199	25	77
200	25	76
201	25	76
202	26	76
203	26	76
204	26	76
205	26	76
206	26	76
207	26	76
208	26	76
209	27	76
210	27	75
211	27	75
212	27	75
213	27	75
214	27	75
215	27	75
216	28	75
217	28	75
218	28	75
219	28	74
220	28	74
221	28	74
222	28	74
223	28	74
224	29	74
225	29	73
226	29	73
227	29	73
228	29	73
229	29	73
230	29	72
231	29	72
232	29	72
233	29	72
234	30	72
235	30	72
236	30	71
237	30	71
238	30	71
239	30	71
240	30	71
241	30	71
242	30	70
243	31	70
244	31	70
245	31	70
246	31	70
247	31	69
248	31	69
249	31	69
250	31	69
251	31	69
252	32	69
253	32	69
254	32	68
255	32	68
256	32	69
257	32	68
258	32	68
259	32	68
260	33	68
261	33	68
262	33	68
263	33	67
264	33	67
265	33	67
266	33	67
267	33	67
268	34	67
269	34	66
270	34	66
271	34	66
272	34	66
273	34	66
274	34	66
275	34	66
276	34	65
277	35	65
278	35	65
279	35	65
280	35	65
281	35	65
282	35	64
283	35	64
284	35	64
285	35	64
286	35	64
287	36	64
288	36	64
289	36	63
290	36	63
291	36	63
292	36	63
293	36	63
294	36	63
295	36	62
296	37	62
297	37	62
298	37	62
299	37	62
300	37	62
